ZoneID,Lat,Long
3100,38.886808,-77.217771
3110,38.889721,-77.164344
3110,38.887928,-77.161981
3120,38.881396,-77.122789
3130,38.897669,-77.094327
3200,38.887747,-77.115861
3210,38.884717,-77.152455
3220,38.900839,-77.193458
3230,38.889336,-77.213829
